################################################################################
# Various labeled images
################################################################################

####################
# Possible labels  #
####################
labels: dollar-bill, face

####################
# labeled Images #
####################

/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0001.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0002.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0003.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0004.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0005.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0006.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0007.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0008.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0009.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0010.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0011.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0012.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0013.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0014.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0015.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0016.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0017.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0018.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0019.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0020.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0021.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0022.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0023.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0024.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0025.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0026.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0027.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0028.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0029.jpg, dollar-bill
/mnt/Data/fall2013/not-faces//101_ObjectCategories/dollar_bill/image_0030.jpg, dollar-bill
